nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y,nose_conf,left_eye_inner_conf,left_eye_conf,left_eye_outer_conf,right_eye_inner_conf,right_eye_conf,right_eye_outer_conf,left_ear_conf,right_ear_conf,mouth_left_conf,mouth_right_conf,left_shoulder_conf,right_shoulder_conf,left_elbow_conf,right_elbow_conf,left_wrist_conf,right_wrist_conf,left_pinky_conf,right_pinky_conf,left_index_conf,right_index_conf,left_thumb_conf,right_thumb_conf,left_hip_conf,right_hip_conf,left_knee_conf,right_knee_conf,left_ankle_conf,right_ankle_conf,left_heel_conf,right_heel_conf,left_foot_index_conf,right_foot_index_conf
782.455,319.274,796.092,312.850,800.355,315.608,804.878,318.242,787.880,308.478,785.445,307.463,783.062,306.257,814.030,330.533,789.773,314.445,787.334,337.349,774.130,329.194,816.739,399.505,749.159,404.356,837.708,317.804,706.799,441.566,851.198,250.122,662.286,462.339,856.444,227.437,647.041,470.805,853.919,223.965,646.971,468.834,853.255,230.789,655.620,467.731,812.426,569.112,776.193,576.506,860.856,720.476,752.355,682.710,912.580,809.080,696.161,744.203,918.954,832.497,694.668,757.460,909.571,830.554,653.347,761.441,0.999,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.999,0.999,0.998,1.000,1.000,0.781,0.828,0.817,0.881,0.835,0.880,0.838,0.875,0.796,0.802,1.000,1.000,0.591,0.675,0.641,0.638,0.738,0.679,0.587,0.575
784.244,316.770,798.267,309.885,802.283,311.948,806.453,314.084,791.615,307.062,790.363,306.543,789.137,305.835,818.711,326.694,799.460,314.716,789.122,333.957,778.414,328.399,821.861,393.639,768.717,401.156,840.099,309.001,739.712,452.970,850.488,225.678,705.522,483.909,848.988,201.621,695.941,493.434,846.994,198.354,693.835,493.383,847.977,205.960,698.439,490.380,823.726,565.775,794.661,574.699,911.283,681.185,781.611,710.313,984.083,699.230,751.703,808.723,990.522,713.089,756.251,823.165,996.920,703.750,715.073,839.892,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.999,0.999,0.998,1.000,1.000,0.802,0.747,0.835,0.812,0.851,0.820,0.854,0.818,0.816,0.750,1.000,1.000,0.632,0.663,0.676,0.643,0.764,0.683,0.628,0.595
788.004,314.708,802.297,307.436,806.064,308.939,809.885,310.659,797.044,305.859,796.793,305.759,796.546,305.480,824.472,323.526,809.630,315.026,792.703,331.158,784.267,327.722,827.417,389.293,788.094,399.104,842.657,302.107,771.171,461.900,850.653,206.727,745.078,499.755,844.109,181.578,740.250,509.707,842.877,178.374,736.148,511.208,845.093,186.616,737.533,506.726,834.276,563.890,812.611,573.302,948.678,655.260,808.641,732.344,1040.681,620.609,799.721,861.277,1047.396,627.036,809.097,876.950,1066.650,614.544,768.922,904.061,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,0.999,1.000,1.000,0.821,0.674,0.851,0.741,0.866,0.750,0.868,0.748,0.833,0.686,1.000,1.000,0.669,0.697,0.708,0.679,0.787,0.714,0.665,0.635
793.736,313.087,808.182,305.501,811.700,306.583,815.175,307.969,804.166,304.870,804.737,305.112,805.288,305.193,831.311,321.028,820.283,315.376,798.078,328.952,791.686,327.163,833.405,386.467,807.289,398.200,845.382,297.121,801.176,468.354,851.694,193.268,780.952,509.877,841.806,167.308,779.969,519.626,841.567,164.025,773.913,522.309,844.604,172.757,772.902,516.770,844.078,563.456,830.040,572.314,973.042,642.701,833.443,748.805,1082.376,573.219,840.216,901.865,1089.578,574.338,853.206,918.815,1118.760,562.938,814.891,953.947,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.838,0.607,0.865,0.671,0.879,0.683,0.881,0.681,0.849,0.626,1.000,1.000,0.702,0.727,0.737,0.710,0.808,0.742,0.698,0.671
801.439,311.907,815.922,304.081,819.190,304.879,822.321,306.012,812.980,304.092,814.193,304.602,815.365,304.973,839.228,319.201,831.420,315.765,805.247,327.340,800.674,326.721,839.827,385.161,826.302,398.444,848.274,294.043,829.728,472.334,853.611,185.301,813.144,514.276,842.081,158.811,815.096,523.190,843.066,155.309,807.128,526.686,846.510,164.383,804.546,520.511,853.131,564.474,846.950,571.736,984.373,643.506,856.019,759.695,1109.166,557.058,873.188,930.486,1117.066,554.994,888.579,948.759,1153.252,548.931,852.983,989.551,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.855,0.547,0.879,0.606,0.891,0.620,0.892,0.618,0.864,0.569,1.000,1.000,0.732,0.754,0.763,0.739,0.827,0.768,0.729,0.704
810.772,307.488,825.499,299.601,828.625,300.227,831.490,301.129,823.501,299.889,825.284,300.570,827.052,301.195,848.435,315.004,843.133,312.748,813.533,322.416,811.032,322.705,846.515,382.605,843.897,398.861,850.812,291.273,860.791,473.721,855.028,188.727,845.265,512.749,845.912,161.649,849.653,519.055,848.559,157.476,839.052,523.658,851.608,166.932,835.593,517.110,860.175,567.204,861.244,571.343,966.344,672.284,869.471,765.489,1109.874,593.344,892.492,945.699,1117.970,590.501,910.252,965.528,1160.947,596.042,875.248,1011.887,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.868,0.492,0.890,0.546,0.901,0.559,0.902,0.556,0.875,0.512,1.000,1.000,0.758,0.741,0.786,0.755,0.844,0.782,0.755,0.726
823.634,306.563,838.118,298.771,840.825,299.514,843.180,300.367,837.116,299.038,839.227,299.860,841.278,300.631,858.816,314.008,856.370,312.807,825.081,321.475,824.111,321.544,853.551,384.721,863.579,400.495,855.020,291.387,886.841,472.748,860.285,190.503,871.427,503.955,852.659,164.198,878.971,507.916,857.191,159.643,865.116,512.933,859.984,168.740,861.524,506.872,867.083,571.462,876.242,570.497,940.644,716.681,888.319,757.216,1093.074,673.121,905.523,932.895,1103.590,671.569,922.246,952.699,1141.889,694.917,893.682,998.325,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.881,0.443,0.901,0.492,0.910,0.504,0.912,0.502,0.887,0.463,1.000,1.000,0.782,0.758,0.808,0.778,0.859,0.801,0.780,0.752
838.668,309.341,852.026,301.888,854.383,302.761,856.338,303.655,851.644,302.013,853.740,302.974,855.727,303.892,870.385,316.633,869.086,316.216,839.119,324.523,839.023,324.463,861.154,389.605,882.513,404.340,858.076,296.039,903.301,469.369,865.755,195.819,888.421,495.029,860.308,169.372,895.518,497.424,866.457,164.383,880.779,501.407,868.737,173.750,878.600,496.510,874.569,576.435,892.241,572.143,931.314,737.264,910.331,753.016,1084.932,724.482,928.752,938.040,1097.083,723.093,944.078,957.522,1128.195,770.867,923.897,1002.584,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.893,0.399,0.910,0.445,0.919,0.458,0.920,0.456,0.898,0.421,1.000,1.000,0.804,0.766,0.827,0.797,0.873,0.818,0.802,0.775
851.882,317.970,864.384,309.766,866.563,310.759,868.352,311.706,864.239,309.626,866.205,310.588,868.032,311.513,882.019,323.971,881.013,324.011,852.643,333.489,852.642,333.272,870.603,397.499,900.409,411.815,860.276,303.084,919.219,467.365,870.727,203.647,905.328,488.772,867.237,177.420,911.960,491.764,875.172,172.157,899.076,494.384,876.946,181.707,896.658,488.779,883.520,581.882,907.321,575.598,935.012,742.328,922.815,749.820,1082.264,767.393,939.455,938.419,1096.161,769.857,951.833,961.939,1127.488,823.880,935.304,1005.298,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.903,0.361,0.919,0.402,0.926,0.415,0.927,0.413,0.907,0.381,1.000,1.000,0.823,0.771,0.844,0.814,0.886,0.833,0.821,0.795
862.039,330.861,873.772,322.194,875.632,323.291,877.138,324.307,873.997,321.937,875.865,322.963,877.610,323.948,890.078,335.768,890.509,336.294,863.128,346.707,863.522,346.566,877.462,407.117,916.950,421.555,860.631,314.020,934.912,470.616,873.608,215.604,917.136,478.861,871.931,189.554,921.046,480.840,881.046,184.392,909.613,481.566,882.279,193.697,908.270,476.196,891.222,591.819,921.864,584.391,936.365,748.781,932.366,753.736,1052.009,815.692,965.442,943.709,1067.678,822.397,975.134,969.932,1086.492,876.438,961.596,998.386,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,0.912,0.325,0.926,0.364,0.933,0.378,0.934,0.376,0.915,0.347,1.000,1.000,0.840,0.776,0.856,0.827,0.894,0.842,0.836,0.809
